air_temp,ghi,period_end,period
24,0,2023-01-21T18:00:00+00:00,PT60M
22,0,2023-01-21T19:00:00+00:00,PT60M
21,0,2023-01-21T20:00:00+00:00,PT60M
20,0,2023-01-21T21:00:00+00:00,PT60M
20,0,2023-01-21T22:00:00+00:00,PT60M
19,0,2023-01-21T23:00:00+00:00,PT60M
18,0,2023-01-22T00:00:00+00:00,PT60M
17,0,2023-01-22T01:00:00+00:00,PT60M
15,0,2023-01-22T02:00:00+00:00,PT60M
15,0,2023-01-22T03:00:00+00:00,PT60M
15,9,2023-01-22T04:00:00+00:00,PT60M
17,161,2023-01-22T05:00:00+00:00,PT60M
20,403,2023-01-22T06:00:00+00:00,PT60M
22,642,2023-01-22T07:00:00+00:00,PT60M
24,848,2023-01-22T08:00:00+00:00,PT60M
25,1004,2023-01-22T09:00:00+00:00,PT60M
27,1100,2023-01-22T10:00:00+00:00,PT60M
28,1124,2023-01-22T11:00:00+00:00,PT60M
29,1044,2023-01-22T12:00:00+00:00,PT60M
30,883,2023-01-22T13:00:00+00:00,PT60M
30,769,2023-01-22T14:00:00+00:00,PT60M
30,558,2023-01-22T15:00:00+00:00,PT60M
29,313,2023-01-22T16:00:00+00:00,PT60M
26,85,2023-01-22T17:00:00+00:00,PT60M
24,0,2023-01-22T18:00:00+00:00,PT60M
22,0,2023-01-22T19:00:00+00:00,PT60M
22,0,2023-01-22T20:00:00+00:00,PT60M
20,0,2023-01-22T21:00:00+00:00,PT60M
19,0,2023-01-22T22:00:00+00:00,PT60M
18,0,2023-01-22T23:00:00+00:00,PT60M
17,0,2023-01-23T00:00:00+00:00,PT60M
16,0,2023-01-23T01:00:00+00:00,PT60M
15,0,2023-01-23T02:00:00+00:00,PT60M
15,0,2023-01-23T03:00:00+00:00,PT60M
15,8,2023-01-23T04:00:00+00:00,PT60M
16,162,2023-01-23T05:00:00+00:00,PT60M
